directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;area;dpto;clase;fex_c_2011
12274;1;1;98;49;4921;4;40;0;7; ;1300000;1;1;03;18;18;1;64,6723854696188
12274;1;2;54;81;8121;4;20;0;7; ;300000;1;1;03;18;18;1;64,6723854696188
12275;1;1;58;84;8424;2;48;16;6;5000000; ; ;1;03;18;18;1;66,6954095552697
12275;1;2;13;85;8530;2;40;10;6;3800000; ; ;1;03;18;18;1;66,6954095552697
12276;1;1;03;85;8544;1;45;25;7;1334000; ; ;1;03;15;15;1;124,649744646741
12278;1;1;37;45;4511;1;50;0;6;1036000; ; ;1;03;76;76;1;1345,25792231277
12278;1;2;39;86;8621;1;48;0;6;1200000; ; ;1;03;76;76;1;1345,25792231277
12279;1;1;33;25;2511;1;48;0;6;2000000; ; ;1;03;11;11;1;1267,98703750515
12279;1;2;59;86;8691;1;36;0;6;1000000; ; ;1;03;11;11;1;1267,98703750515
12279;1;3;08;53;5320;1;60;60; ;2000000; ; ;1;03;11;11;1;1267,98703750515
12282;1;1;42;47;4711;1;48;0;7; ; ; ;1;03;05;05;1;1030,97807988863
12282;1;2;39;33;3312;1;48;0;7; ; ; ;1;03;05;05;1;1030,97807988863
12285;1;3;44;47;4791;4;54;0;5; ;0;1;1;03;50;50;1;175,377180429167
12286;1;1;45;47;4711;1;21;0;6;180000; ; ;1;03;76;76;1;676,028015333986
12288;1;1;13;85;8530;2;30;30; ; ; ; ;1;03;15;15;1;117,32609062954
12288;1;2;13;85;8530;2;30;30; ; ; ; ;1;03;15;15;1;117,32609062954
12289;1;1;97;47;4711;1;48;48; ;878000; ; ;1;03;05;05;1;751,28552000308
12294;1;1;55;47;4773;1;48;0;3;877802; ; ;1;03;13;13;1;302,708497555323
12294;1;7;33;46;4659;1;48;48; ;877802; ; ;1;03;13;13;1;302,708497555323
12297;1;1;77;56;5619;4;48;15;6; ;80000;1;1;03;13;13;1;409,526700517744
12299;1;1;53;56;5619;4;30;0;7; ;300000;1;1;03;05;05;1;796,808992122771
12301;1;1;45;47;4773;1;40;0;7;1200000; ; ;1;03;18;18;1;50,678670716325
12301;1;2;44;64;6412;1;40;0;7;800000; ; ;1;03;18;18;1;50,678670716325
12301;1;3;12;69;6910;4;40;0;7; ;2000000;1;1;03;18;18;1;50,678670716325
12304;1;1;84;45;4520;1;48;0;7;1200000; ; ;1;03;05;05;1;1639,06707933565
12304;1;3;84;45;4530;1;70;0;7;1000000; ; ;1;03;05;05;1;1639,06707933565
12305;1;2;16;73;7310;4;48;0;6; ;700000;1;1;03;20;20;1;121,207146230756
12311;1;2;97;52;5224;4;48;0;5; ;900000;1;1;03;68;68;1;505,166946619823
12315;1;1;45;46;4659;1;48;20;6;2000000; ; ;1;03;05;05;1;1722,24897533491
12316;1;1;77;10;1081;4;48;48; ; ;800000;1;1;03;13;13;1;282,692624207142
12318;1;1;49;77;7730;4;60;0;7; ;3000000;1;1;03;11;11;1;2044,2879029192
12318;1;2;49;77;7730;4;60;0;7; ;1000000;1;1;03;11;11;1;2044,2879029192
12322;1;1;55;81;8121;4;30;0;6; ;400000;1;1;03;11;11;1;3349,75307587609
12324;1;1;95;41;4111;1;72;0;5;480000; ; ;1;03;50;50;1;255,927125092886
12324;1;2;53;56;5611;1;70;0;5;440000; ; ;1;03;50;50;1;255,927125092886
12324;1;3;77;10;1081;1;70;0;5;1200000; ; ;1;03;50;50;1;255,927125092886
12324;1;5;53;56;5619;1;22;0;5;160000; ; ;1;03;50;50;1;255,927125092886
12337;1;2;06;75;7500;4;48;0;5; ;1000000;1;1;03;18;18;1;76,4254505545628
12338;1;1;41;45;4541;4;40;0;7; ;800000;1;1;03;18;18;1;42,0339978050096
12340;1;1;53;47;4711;1;48;48; ;900000; ; ;1;03;44;44;1;97,3564660907541
12340;1;2;53;56;5611;1;48;24;7;700000; ; ;1;03;44;44;1;97,3564660907541
12341;1;1;39;85;8544;2;40;40; ; ; ; ;1;03;05;05;1;1592,7552535036
12341;1;2;45;46;4631;1;48;48; ; ; ; ;1;03;05;05;1;1592,7552535036
12342;1;1;13;85;8530;2;40;20;6;2800000; ; ;1;03;63;63;1;83,2144189507681
12346;1;1;81;31;3110;4;50;5;7; ;1000000;1;1;03;11;11;1;1783,8982324055
12347;1;1;61;01;0161;4;60;60; ; ;400000;1;1;03;18;18;1;67,5315377866597
12348;1;1;95;43;4330;5;45;0;7; ;2000000;1;1;03;15;15;1;123,850466501752
12348;1;2;45;47;4719;1;48;0;6;877803; ; ;1;03;15;15;1;123,850466501752
12349;1;1;95;42;4210;1;48;0;6;877803; ; ;1;03;05;05;1;1109,01156235396
12353;1;1;41;47;4771;4;44;0;7; ;560000;1;1;03;15;15;1;127,466958136359
12355;1;1;39;84;8424;2;40;40; ;1940000; ; ;1;03;50;50;1;90,2690099948608
12357;1;2;95;41;4111;1;60;0;6;2500000; ; ;1;03;11;11;1;1869,99639426162
12360;1;1;75;32;3290;4;42;42; ; ;200000;1;1;03;44;44;1;277,504247711017
12360;1;2;98;49;4921;4;72;36;7; ;750000;1;1;03;44;44;1;277,504247711017
12369;1;1;33;69;6920;1;48;48; ;1200000; ; ;1;03;11;11;1;3507,97538031748
12369;1;2;58;84;8423;2;48;48; ;1700000; ; ;1;03;11;11;1;3507,97538031748
12370;1;1;54;97;9700;3;50;0;5;400000; ; ;1;03;68;68;1;525,554113571951
12372;1;1;98;49;4921;4;48;12;7; ;800000;1;1;03;27;27;1;35,7238434998065
12372;1;3;84;45;4542;4;48;0;7; ;800000;1;1;03;27;27;1;35,7238434998065
12373;1;1;41;47;4771;4;25;0;7; ;1500000;1;1;03;05;05;1;1650,19652107586
12375;1;1;02;42;4210;1;48;20;6; ; ; ;1;03;20;20;1;191,260715306295
12375;1;2;39;42;4210;1;48;0;5;1000000; ; ;1;03;20;20;1;191,260715306295
12376;1;1;11;47;4719;1;40;0;3;1400000; ; ;1;03;18;18;1;59,1273265398685
12379;1;2;19;05;0510;1;48;48; ;877803; ; ;1;03;15;15;1;113,95357945612
12381;1;2;85;95;9522;4;48;0;5; ;800000;1;1;03;18;18;1;66,4571442784648
12384;1;1;41;47;4771;4;36;0;6; ;800000;1;1;03;76;76;1;1010,36814231886
12384;1;2;57;96;9602;4;25;0;6; ;400000;1;1;03;76;76;1;1010,36814231886
12384;1;4;30;49;4923;1;64;40;6; ; ; ;1;03;76;76;1;1010,36814231886
12386;1;2;38;61;6190;4;15;6;6; ; ;1;1;03;20;20;1;176,206862575122
12388;1;1;41;47;4729;4;60;12;6; ;1350000;1;1;03;50;50;1;211,929427220047
12389;1;1;32;75;7500;1;48;30;5;970000; ; ;1;03;18;18;1;42,223915309973
12390;1;3;95;43;4330;4;48;0;7; ;750000;1;1;03;20;20;1;224,672338663438
12394;1;1;45;47;4781;4;60;0;5; ;800000;1;1;03;76;76;1;843,581742367041
12398;1;2;38;20;2023;1;48;0;5;1200000; ; ;1;03;68;68;1;636,740464098939
12398;1;3;97;47;4711;1;48;48; ;877803; ; ;1;03;68;68;1;636,740464098939
12399;1;2;62;01;0141;1;48;48; ;800000; ; ;1;03;18;18;1;37,0517303710806
12399;1;3;97;46;4631;1;48;48; ;970000; ; ;1;03;18;18;1;37,0517303710806
12402;1;1;06;75;7500;4;40;0;7; ;1000000;1;1;03;15;15;1;141,080038454732
12407;1;8;41;47;4772;4;70;0;5; ;400000;1;1;03;18;18;1;82,0557290681386
12410;1;1;97;52;5224;4;40;0;7; ;5000000;1;1;03;76;76;1;1302,14035816856
12413;1;1;94;32;3240;4;48;0;7; ;800000;1;1;03;11;11;1;2533,69205426787
12422;1;1;41;47;4721;4;40;0;5; ;500000;1;1;03;18;18;1;34,197092666901
12425;1;1;41;47;4711;4;82;82; ; ;2500000;1;1;03;20;20;1;194,529987777756
12425;1;2;98;49;4921;4;82;0;6; ;900000;1;1;03;20;20;1;194,529987777756
12425;1;3;95;31;3110;4;82;0;6; ;1100000;1;1;03;20;20;1;194,529987777756
12426;1;1;39;84;8415;2;48;48; ;1500000; ; ;1;03;11;11;1;3704,08639023051
12426;1;2;79;32;3240;4;48;0;7; ;1000000;1;1;03;11;11;1;3704,08639023051
12429;1;2;87;42;4210;1;48;0;5;900000; ; ;1;03;13;13;1;502,925656651744
12429;1;7;97;52;5224;4;52;16;6; ;400000;1;1;03;13;13;1;502,925656651744
12430;1;1;99;38;3830;4;25;0;5; ;400000;1;1;03;18;18;1;34,197092666901
12436;1;1;59;86;8610;1;48;48; ;1200000; ; ;1;03;13;13;1;386,887638910989
12436;1;6;95;23;2310;1;48;0;3;1000000; ; ;1;03;13;13;1;386,887638910989
12437;1;2;62;81;8130;4;52;0;7; ;350000;1;1;03;20;20;1;136,738532273752
12438;1;1;45;47;4789;4;48;0;5; ;600000;1;1;03;11;11;1;4726,39829384254
12445;1;1;41;47;4719;4;60;10;6; ;0;1;1;03;50;50;1;227,056675743159
12447;1;1;54;81;8121;4;20;0;7; ;300000;1;1;03;18;18;1;36,084605776603
12447;1;4;54;81;8121;4;20;0;7; ;200000;1;1;03;18;18;1;36,084605776603
12448;1;2;54;88;8890;4;55;45;6; ;175000;1;1;03;76;76;1;1730,72975760242
12448;1;3;80;15;1521;4;50;50; ; ; ;1;1;03;76;76;1;1730,72975760242
12448;1;4;44;64;6423;1;44;32;7;1500000; ; ;1;03;76;76;1;1730,72975760242
12454;1;1;33;64;6412;1;48;32;7;980000; ; ;1;03;50;50;1;604,827271038366
12455;1;1;45;46;4661;5;48;0;6; ;1400000;1;1;03;76;76;1;836,466729570874
12455;1;2;44;61;6120;1;48;0;6;877803; ; ;1;03;76;76;1;836,466729570874
12458;1;4;97;47;4711;1;48;48; ;877802; ; ;1;03;13;13;1;301,215629790639
12462;1;2;58;84;8422;2;48;48; ;3000000; ; ;1;03;11;11;1;2191,03137204734
12464;1;1;87;43;4322;4;30;0;6; ;700000;1;1;03;11;11;1;1272,2936777892
12467;1;1;54;81;8121;4;36;0;5; ;300000;1;1;03;15;15;1;159,59693253113
12467;1;2;98;49;4921;4;40;0;5; ;700000;1;1;03;15;15;1;159,59693253113
12471;1;1;53;56;5619;1;70;30;7;750000; ; ;1;03;44;44;1;131,999935943864
12471;1;4;45;47;4772;1;70;30;7;500000; ; ;1;03;44;44;1;131,999935943864
12475;1;1;13;85;8530;2;40;40; ; ; ; ;1;03;15;15;1;106,242323175083
12475;1;2;13;85;8530;1;40;40; ;1800000; ; ;1;03;15;15;1;106,242323175083
12476;1;1;45;47;4731;1;48;48; ;877802; ; ;1;03;13;13;1;313,732053646684
12476;1;5;58;84;8423;2;48;48; ;877802; ; ;1;03;13;13;1;313,732053646684
12478;1;1;58;84;8423;2;48;48; ;2200000; ; ;1;03;50;50;1;102,756926339201
12478;1;2;11;69;6920;1;48;48; ;1800000; ; ;1;03;50;50;1;102,756926339201
12482;1;1;80;15;1512;4;40;0;7; ;700000;1;1;03;18;18;1;51,7364107223849
12484;1;2;98;49;4921;4;60;25;7; ;400000;1;1;03;27;27;1;29,6782699844547
12484;1;3;98;49;4921;4;45;15;7; ;350000;1;1;03;27;27;1;29,6782699844547
12485;1;1;62;01;0161;8;40;40; ;800000; ; ;1;03;18;18;1;38,9426483006577
12485;1;3;54;81;8121;4;30;0;7; ;300000;1;1;03;18;18;1;38,9426483006577
12491;1;1;54;94;9499;1;48;0;3;877802; ; ;1;03;13;13;1;294,830551425171
12493;1;2;39;94;9499;1;48;48; ;877802; ; ;1;03;13;13;1;284,677121228362
12497;1;1;95;42;4210;1;48;0;1;1200000; ; ;1;03;76;76;1;2409,39865429267
12497;1;2;54;97;9700;3;40;5;1;600000; ; ;1;03;76;76;1;2409,39865429267
12500;1;1;41;47;4752;5;48;0;7; ;1500000;1;1;03;20;20;1;145,734984822597
12501;1;1;33;47;4723;1;48;20;6;600000; ; ;1;03;05;05;1;1168,1334381999
12501;1;2;37;53;5320;4;40;23;6; ;200000;1;1;03;05;05;1;1168,1334381999
12505;1;1;98;49;4921;1;72;0;6;877803; ; ;1;03;15;15;1;116,645358349955
12505;1;2;13;85;8530;1;40;0;6;877803; ; ;1;03;15;15;1;116,645358349955
12506;1;1;58;86;8692;1;24;24; ;384000; ; ;1;03;76;76;1;1584,11174754414
12506;1;2;79;95;9529;4;12;0;6; ;400000;1;1;03;76;76;1;1584,11174754414
12514;1;1;53;56;5611;1;48;0;3;980657; ; ;1;03;44;44;1;274,795418899809
12514;1;2;45;47;4711;1;70;49;6;984400; ; ;1;03;44;44;1;274,795418899809
12515;1;2;57;96;9602;4;2;0;6; ;30000;1;1;03;76;76;1;843,815108872316
12519;1;1;95;41;4112;4;48;16;6; ;800000;1;1;03;44;44;1;202,742682771164
12520;1;1;37;53;5320;4;40;23;6; ;435000;1;1;03;05;05;1;938,692836769914
12520;1;3;45;47;4789;4;40;20;6; ;435000;1;1;03;05;05;1;938,692836769914
12524;1;1;54;81;8121;4;20;0;7; ;300000;1;1;03;18;18;1;38,1029305019887
12525;1;1;97;20;2023;1;48;48; ;877803; ; ;1;03;11;11;1;1291,80946653503
12526;1;1;02;42;4210;4;44;20;6; ;2000000;1;1;03;44;44;1;36,9464766329267
12527;1;1;79;14;1410;1;48;0;5;875000; ; ;1;03;05;05;1;1174,62975877788
12527;1;2;97;52;5224;4;50;0;5; ;680000;1;1;03;05;05;1;1174,62975877788
12528;1;3;45;47;4759;1;60;30;7;900000; ; ;1;03;44;44;1;108,173851211949
12530;1;1;13;85;8544;2;40;0;6;7000000; ; ;1;03;15;15;1;60,4634868457393
12531;1;1;85;43;4321;4;40;0;5; ;1000000;1;1;03;05;05;1;1096,93113445027
12533;1;1;44;68;6820;4;20;0;6; ;2000000;1;1;03;44;44;1;65,8985920906284
12533;1;2;45;47;4792;4;9;0;6; ;100000;1;1;03;44;44;1;65,8985920906284
12533;1;3;54;97;9700;3;40;40; ;300000; ; ;1;03;44;44;1;65,8985920906284
12535;1;1;55;45;4520;1;48;0;6;900000; ; ;1;03;11;11;1;1249,65110987172
12537;1;1;54;97;9700;3;45;25;7;650000; ; ;1;03;63;63;1;77,9085770168573
12537;1;2;45;47;4752;1;48;28;7;877803; ; ;1;03;63;63;1;77,9085770168573
12539;1;1;84;33;3312;4;35;0;6; ;2000000;1;1;03;11;11;1;1258,2837332528
12539;1;2;44;65;6532;1;40;40; ;2000000; ; ;1;03;11;11;1;1258,2837332528
12541;1;1;45;47;4711;1;84;48;6;1100000; ; ;1;03;05;05;1;1107,01042755317
12541;1;2;58;80;8010;1;72;72; ;1800000; ; ;1;03;05;05;1;1107,01042755317
12541;1;3;56;96;9601;1;48;48; ;877803; ; ;1;03;05;05;1;1107,01042755317
12542;1;1;45;10;1081;1;63;77; ;800000; ; ;1;03;76;76;1;807,381682316633
12542;1;2;77;10;1081;1;77;77; ;900000; ; ;1;03;76;76;1;807,381682316633
12543;1;2;41;47;4761;4;48;21;6; ;300000;1;1;03;15;15;1;113,95357945612
12543;1;3;61;01;0113;4;48;0;6; ;400000;1;1;03;15;15;1;113,95357945612
12544;1;3;59;86;8699;4;48;24;6; ;800000;1;1;03;11;11;1;1093,02246708627
12545;1;1;59;86;8621;1;40;40; ;1700000; ; ;1;03;11;11;1;4536,04540240787
12546;1;1;21;84;8412;4;40;45; ; ;2700000;1;1;03;11;11;1;1322,10328594731
12546;1;3;08;62;6201;1;40;40; ;2200000; ; ;1;03;11;11;1;1322,10328594731
12548;1;1;39;47;4741;1;66;0;6;877803; ; ;1;03;76;76;1;693,77767115062
12548;1;2;54;97;9700;3;8;0;6;200000; ; ;1;03;76;76;1;693,77767115062
12550;1;1;02;64;6412;1;40;40; ;3500000; ; ;1;03;11;11;1;1196,57911173366
12551;1;1;98;49;4921;4;60;0;6; ;1200000;1;1;03;11;11;1;1359,46637612699
12551;1;2;21;49;4921;4;20;0;5; ; ;1;1;03;11;11;1;1359,46637612699
12553;3;1;39;20;2023;1;48;48; ;877803; ; ;1;03;11;11;1;1620,04052024407
12559;1;1;98;49;4921;4;8;0;6; ;1200000;1;1;03;15;15;1;90,8418337797706
12559;1;2;79;95;9529;4;4;0;6; ;200000;1;1;03;15;15;1;90,8418337797706
12560;1;1;13;85;8551;4;8;8; ; ;3600000;1;1;03;15;15;1;88,6462530366669
12560;1;2;53;56;5611;4;6;0;6; ;300000;1;1;03;15;15;1;88,6462530366669
12562;1;1;45;47;4711;1;8;8; ;2200000; ; ;1;03;15;15;1;104,082775624673
12562;1;2;03;94;9499;4;8;8; ; ;1300000;1;1;03;15;15;1;104,082775624673
12564;1;1;95;42;4210;1;8;0;5;1500000; ; ;1;03;15;15;1;107,875260659764
12566;1;1;13;85;8530;1;45;45; ; ; ; ;1;03;76;76;1;957,071778858777
12566;1;2;13;85;8530;1;48;50; ;1290000; ; ;1;03;76;76;1;957,071778858777
12568;1;1;98;49;4921;4;72;36;7; ;850000;1;1;03;44;44;1;142,088881260838
12568;1;2;45;47;4752;1;60;30;7;900000; ; ;1;03;44;44;1;142,088881260838
12569;1;1;97;77;7730;1;54;16;6;1500000; ; ;1;03;76;76;1;967,734948066889
12569;1;2;54;97;9700;3;24;0;6;360000; ; ;1;03;76;76;1;967,734948066889
12570;1;2;11;94;9411;1;40;40; ;3000000; ; ;1;03;11;11;1;1530,32153987457
12571;1;1;44;47;4771;1;70;40;7;850000; ; ;1;03;44;44;1;314,790757048024
12571;1;3;77;56;5619;4;42;42; ; ;120000;1;1;03;44;44;1;314,790757048024
12571;1;4;95;41;4112;4;48;24;6; ;700000;1;1;03;44;44;1;314,790757048024
12572;1;3;13;85;8530;1;50;0;6;1300000; ; ;1;03;76;76;1;755,329119766378
12572;1;4;97;22;2229;1;48;0;6;877803; ; ;1;03;76;76;1;755,329119766378
12574;1;1;79;14;1410;4;40;0;5; ;1500000;1;1;03;08;08;1;1312,93937163072
12574;1;2;41;47;4773;4;44;0;5; ;750000;1;1;03;08;08;1;1312,93937163072
12575;1;1;06;84;8412;2;40;0;6;2845000; ; ;1;03;15;15;1;137,611960259363
12577;1;1;40;47;4731;1;52;40;5; ; ; ;1;03;08;08;1;1499,07561900826
12581;1;1;41;47;4759;4;42;42; ; ;200000;1;1;03;44;44;1;312,930016110239
12586;1;1;98;38;3811;1;40;40; ;1692000; ; ;1;03;11;11;1;1130,84265284673
12586;1;3;97;47;4771;1;21;0;5;700000; ; ;1;03;11;11;1;1130,84265284673
12586;1;4;03;93;9329;1;40;0;6;421000; ; ;1;03;11;11;1;1130,84265284673
12588;1;1;41;47;4759;4;40;0;7; ;550000;1;1;03;15;15;1;134,788790692302
12592;1;2;97;17;1702;4;40;45; ; ;500000;1;1;03;76;76;1;865,914236045771
12593;1;1;95;42;4210;1;48;24;7;700000; ; ;1;03;44;44;1;280,655429171949
12595;1;2;21;35;3513;1;40;40; ; ; ; ;1;03;15;15;1;79,4647956525022
12596;1;1;55;81;8121;4;12;28; ; ;250000;1;1;03;76;76;1;2455,55657512253
12596;1;2;45;47;4773;1;48;0;1;877803; ; ;1;03;76;76;1;2455,55657512253
12596;1;8;62;97;9700;3;48;48; ;877803; ; ;1;03;76;76;1;2455,55657512253
12600;1;1;45;47;4792;4;40;20;7; ;300000;1;1;03;15;15;1;82,8170817533992
12608;1;1;30;47;4723;1;46;48; ;900000; ; ;1;03;41;41;1;117,891580618283
12608;1;5;41;47;4729;4;10;0;7; ;4000000;1;1;03;41;41;1;117,891580618283
12609;1;1;53;56;5611;1;24;0;6;500000; ; ;1;03;76;76;1;1185,24000424999
12609;2;1;95;41;4112;1;55;0;6;877803; ; ;1;03;76;76;1;1185,24000424999
12609;3;1;19;47;4711;1;48;0;6;877803; ; ;1;03;76;76;1;1185,24000424999
12609;3;2;98;49;4921;1;60;0;3;1200000; ; ;1;03;76;76;1;1185,24000424999
12610;1;1;12;69;6910;4;48;0;7; ;3500000;1;1;03;15;15;1;134,473249542033
12612;1;1;87;43;4322;4;20;0;7; ;300000;1;1;03;18;18;1;43,3595164174981
12612;1;3;54;81;8121;4;20;0;7; ;300000;1;1;03;18;18;1;43,3595164174981
12617;1;1;59;94;9499;2;48;0;3;1800000; ; ;1;03;05;05;1;1756,80653447217
12619;1;2;03;95;9511;1;40;0;7;800000; ; ;1;03;15;15;1;139,443049167297
12620;1;3;44;64;6412;1;48;40;7; ; ; ;1;03;63;63;1;161,137176494123
12622;1;1;41;47;4741;4;48;0;7; ;1000000;1;1;03;05;05;1;1650,19652107586
12623;1;1;95;41;4111;4;40;0;7; ;900000;1;1;03;18;18;1;47,4730427326251
12623;1;2;45;47;4771;4;40;0;7; ;800000;1;1;03;18;18;1;47,4730427326251
12624;1;3;21;84;8413;2;48;24;7;2900000; ; ;1;03;20;20;1;125,63512482133
12626;1;1;98;47;4741;1;48;0;7;1100000; ; ;1;03;05;05;1;1693,85479135703
12626;1;2;21;84;8412;2;48;48; ; ; ; ;1;03;05;05;1;1693,85479135703
12637;1;1;39;94;9499;1;42;0;7;2400000; ; ;1;03;63;63;1;93,6751356384881
12639;1;1;95;41;4111;1;48;30;7;980000; ; ;1;03;50;50;1;276,059033949067
12643;1;1;98;49;4923;1;67;34;6;1500000; ; ;1;03;15;15;1;92,2387255157015
12643;1;2;45;47;4792;4;50;0;7; ;500000;1;1;03;15;15;1;92,2387255157015
12643;1;6;13;85;8530;1;40;0;7;2000000; ; ;1;03;15;15;1;92,2387255157015
12643;1;7;45;47;4721;1;50;50; ;1500000; ; ;1;03;15;15;1;92,2387255157015
12654;1;1;61;01;0161;4;40;0;7; ;800000;1;1;03;18;18;1;38,1029305019887
12658;1;1;62;01;0161;8;40;40; ;800000; ; ;1;03;18;18;1;60,9101030665848
12658;1;3;98;49;4921;4;40;0;7; ;800000;1;1;03;18;18;1;60,9101030665848
12660;1;1;58;68;6820;1;48;48; ;1100000; ; ;1;03;66;66;1;609,626099327307
12660;1;2;95;41;4111;1;48;0;6;890000; ; ;1;03;66;66;1;609,626099327307
12678;1;1;41;47;4721;4;40;40; ; ;1200000;1;1;03;18;18;1;51,7364107223849
12685;1;1;54;81;8121;4;30;0;7; ;350000;1;1;03;18;18;1;44,5165210232604
12685;1;2;98;49;4921;4;40;0;7; ;400000;1;1;03;18;18;1;44,5165210232604
12691;1;1;38;61;6190;4;25;12;6; ;260000;1;1;03;20;20;1;191,136566639213
12692;1;1;95;41;4111;4;40;0;7; ;1200000;1;1;03;18;18;1;51,7364107223849
12697;1;1;54;81;8121;4;30;0;7; ;400000;1;1;03;18;18;1;59,9448189869938
12710;1;1;59;96;9609;4;20;0;7; ;400000;1;1;03;18;18;1;43,9314556097385
12710;1;2;54;81;8121;4;30;0;7; ;400000;1;1;03;18;18;1;43,9314556097385
12712;1;1;57;96;9602;4;48;0;7; ;840000;1;1;03;41;41;1;72,6449988871257
12712;1;2;57;96;9602;4;35;0;7; ;800000;1;1;03;41;41;1;72,6449988871257
12737;1;1;97;47;4752;1;24;0;7;400000; ; ;1;03;05;05;1;1189,43047542214
12739;1;1;95;41;4111;4;40;0;7; ;1200000;1;1;03;18;18;1;42,0339978050096
12764;1;1;03;94;9499;4;40;0;7; ;2000000;1;1;03;18;18;1;44,5165210232604
12772;1;3;32;84;8413;4;40;0;7; ;1200000;1;1;03;18;18;1;31,983999427989
12789;1;3;98;10;1040;1;72;72; ;877803; ; ;1;03;17;17;1;116,24721712843
12799;1;1;39;85;8544;2;40;40; ;2500000; ; ;1;03;15;15;1;48,8867668011771
12799;1;2;13;85;8530;2;40;30;6;2400000; ; ;1;03;15;15;1;48,8867668011771
12855;1;4;33;77;7730;1;49;41;5;1200000; ; ;1;03;76;76;1;1382,50630134363
12872;1;2;59;86;8610;2;48;48; ;1200000; ; ;1;03;17;17;1;146,727925769039
12872;1;4;59;86;8610;2;48;48; ;1200000; ; ;1;03;17;17;1;146,727925769039
12924;1;1;08;62;6201;1;40;25;6;2000000; ; ;1;03;15;15;1;53,0635002534771
12945;1;1;50;56;5611;1;40;0;7;900000; ; ;1;03;15;15;1;48,3847169316656
12960;1;1;99;38;3811;1;48;48; ;1000000; ; ;1;03;76;76;1;896,622199914897
12981;1;1;97;23;2392;1;48;0;7;877803; ; ;1;03;17;17;1;149,989705448322
12990;1;2;41;47;4721;4;70;42;6; ;900000;1;1;03;50;50;1;97,9839941088844
13027;1;1;98;49;4921;4;48;10;6; ;600000;1;1;03;20;20;1;251,745688384007
13027;1;2;45;47;4792;4;12;9;6; ;200000;1;1;03;20;20;1;251,745688384007
13028;1;1;58;80;8010;1;40;0;7;850000; ; ;1;03;15;15;1;126,024316465198
13031;1;2;87;25;2592;1;56;0;7;850000; ; ;1;03;17;17;1;179,518925832926
13033;1;1;59;96;9609;4;30;0;7; ;200000;1;1;03;17;17;1;178,059891632401
13046;1;1;21;70;7020;5;40;40; ; ;2000000;1;1;03;11;11;1;2062,42834640402
13050;1;1;58;80;8010;1;60;60; ;1000000; ; ;1;03;11;11;1;2148,36286083752
13054;1;1;41;47;4773;4;30;0;6; ;0;1;1;03;76;76;1;1043,0868613868
13102;1;1;77;10;1081;4;48;32;6; ;920000;1;1;03;63;63;1;308,199693205999
13105;1;1;97;47;4752;1;24;0;5;400000; ; ;1;03;05;05;1;1340,78467337414
13217;1;1;31;74;7490;5;40;40; ; ;2000000;1;1;03;11;11;1;2062,42834640402
13369;1;2;06;47;4773;5;56;56; ; ; ;1;1;03;50;50;1;107,299155143407
13403;1;2;53;93;9329;1;48;0;7;1100000; ; ;1;03;50;50;1;157,277020191349
13403;1;3;19;86;8621;1;72;36;7;1800000; ; ;1;03;50;50;1;157,277020191349
13432;1;1;98;84;8413;2;48;24;6;1814000; ; ;1;03;50;50;1;55,5000527971743
13432;1;3;53;56;5611;1;48;24;6;950000; ; ;1;03;50;50;1;55,5000527971743
13432;1;4;19;70;7020;1;48;24;6; ; ; ;1;03;50;50;1;55,5000527971743
13447;1;1;44;68;6820;4;40;0;7; ; ;1;1;03;50;50;1;153,806314796287
13475;1;1;45;47;4792;4;20;0;7; ;120000;1;1;03;50;50;1;163,470274700003
13490;1;1;97;47;4723;1;48;30;1;987000; ; ;1;03;50;50;1;220,20717928307
13525;1;1;12;84;8415;2;48;0;6; ; ; ;1;03;50;50;1;57,7855155554072
13663;1;3;53;56;5619;4;70;0;7; ;700000;1;1;03;17;17;1;244,624635255628
13749;1;2;33;47;4731;1;49;0;6;1200000; ; ;1;03;50;50;1;205,089184597434
13749;1;7;39;38;3811;1;45;45; ;1300000; ; ;1;03;50;50;1;205,089184597434
13754;1;4;84;45;4542;4;48;40;7; ; ;1;1;03;50;50;1;173,116188378817
13772;1;2;11;69;6920;4;60;0;7; ;3000000;1;1;03;17;17;1;138,501900467544
13807;1;2;39;88;8890;1;48;0;7;1800000; ; ;1;03;17;17;1;242,121875655935
13815;1;3;77;10;1040;1;48;0;3;900000; ; ;1;03;76;76;1;861,542166224302
13830;1;2;85;35;3511;2;70;70; ;1500000; ; ;1;03;17;17;1;162,467259415448
13830;1;5;02;15;1522;1;48;48; ;877803; ; ;1;03;17;17;1;162,467259415448
13843;1;3;19;84;8413;2;40;0;7;1500000; ; ;1;03;17;17;1;198,552911865615
13972;1;1;45;20;2023;1;48;40;6; ; ; ;1;03;76;76;1;718,50108841594
13986;1;3;07;86;8610;1;48;48; ;2700000; ; ;1;03;76;76;1;1238,5410350366
14026;1;1;12;84;8415;2;48;0;6; ; ; ;1;03;50;50;1;120,827995491468
14034;1;1;57;96;9602;4;16;0;6; ; ;1;1;03;50;50;1;197,163201607076
14044;1;2;53;56;5611;1;44;0;7;630000; ; ;1;03;15;15;1;49,8098219511066
14079;1;1;87;45;4520;4;40;40; ; ;1800000;1;1;03;11;11;1;2095,89491620474
